No,ISIN CODE,Year,PRICE TO BOOK VAL,RETURN ON ASSETS,TOTAL DEBT % COMMON EQUITY
123,JP3802400006,2017,2.9,8.39,0
124,JP3046390005,2014,1.44,3.18,109
124,JP3046390005,2015,1.84,3.15,127.22
124,JP3046390005,2016,1.79,3.06,127.58
124,JP3046390005,2017,1.28,3.13,74.81
125,JP3311530004,2014,2.33,-14.59,0
125,JP3311530004,2015,10.92,-3.28,71.59
125,JP3311530004,2016,11.28,-1.4,73.63
125,JP3311530004,2017,7.11,-1.66,0
126,JP3783600004,2014,1.29,3.59,153.27
126,JP3783600004,2015,1.84,3.12,145.35
126,JP3783600004,2016,1.45,3.93,134.33
126,JP3783600004,2017,1.42,4.27,122.2
127,JP3166000004,2014,1.16,3.98,57.3
127,JP3166000004,2015,1.11,4.53,50.67
127,JP3166000004,2016,1.03,3.16,49.64
127,JP3166000004,2017,1.12,2.17,41.05
128,JP3549600009,2014,0.78,3.38,64.5
128,JP3549600009,2015,1.16,4.5,58.88
128,JP3549600009,2016,0.96,4.54,59.04
128,JP3549600009,2017,1.05,4.2,51.03
129,JP3164470001,2014,0.5,1.53,69.24
129,JP3164470001,2015,0.58,1.45,81.55
129,JP3164470001,2016,0.53,1.78,71.25
129,JP3164470001,2017,0.64,3.86,64.64
130,JP3765400001,2014,0.84,3.41,6.49
130,JP3765400001,2015,1.05,2.52,5.5
130,JP3765400001,2016,0.96,7.18,5.56
130,JP3765400001,2017,1.1,2.5,4.62
131,JP3297000006,2014,0.52,1.98,20.56
131,JP3297000006,2015,0.73,2.34,18.72
131,JP3297000006,2016,0.94,4.29,17.61
131,JP3297000006,2017,0.88,5.1,15.91
132,JP3419400001,2014,1.04,4.62,20.57
132,JP3419400001,2015,1.54,5.64,12.22
132,JP3419400001,2016,1.26,6.08,10
132,JP3419400001,2017,1.54,6.56,7.95
133,JP3560800009,2014,0.48,1.53,29.96
133,JP3560800009,2015,0.6,1.37,19.96
133,JP3560800009,2016,0.57,-4.4,15.88
133,JP3560800009,2017,0.95,7.08,13.34
134,JP3402600005,2014,0.83,5.69,42.01
134,JP3402600005,2015,1.04,5.66,37.49
134,JP3402600005,2016,0.66,0.27,40.75
134,JP3402600005,2017,0.74,-0.82,51.54
135,JP3835620000,2014,2.04,4.47,28.98
135,JP3835620000,2015,1.71,-1.73,39.28
135,JP3835620000,2016,1.4,-1.05,54.39
135,JP3835620000,2017,2.33,1.18,62.85
