No,ISIN CODE,Year,NET CASH FLOW - FINANCING,INCREASE/DECREASE IN CASH/SHOR,NET CASH FLOW - INVESTING,NET CASH FLOW-OPERATING ACTIVS,"PROPERTY, PLANT & EQUIP - NET",CASH DIVIDENDS PAID - TOTAL,CASH & SHORT TERM INVESTMENTS,CASH,TOTAL DEBT,TOTAL CAPITAL,MARKET VALUE,TOTAL SHAREHOLDERS EQUITY,WORKING CAPITAL,TOTAL ASSETS,RETAINED EARNINGS,EARNINGS BEF INTEREST & TAXES,TOTAL LIABILITIES,NET SALES OR REVENUES,FREE CASH FLOW,CASH - GENERIC,BOOK VALUE PER SHARE,OPERATING INCOME,DEPRECIATION,AMORT & IMPAIR OF GOODWILL,AMORTIZATION OF DEFERRED CHARG,AMORTIZATION-INTANGIBLE ASSETS,AMORTIZATION OF INTANGIBLES,DEPRECIATION/DEPLETION/AMORT,SALARIES & BENEFITS EXPENSES,Salaries and Wages from CSR reporting,RESEARCH & DEVELOPMENT
61,JP3106200003,2018,-10528000,10619000,6986000,28126000,107148000,8554000,79936000,59437000,90344000,302845000,196371.7,227433000,136859000,387790000,137137000,18411000,157272000,254846000,20885000,79936000,4505.516,20591000,,1227000,,,,10627000,34762000,,
61,JP3106200003,2019,-11009000,1261000,2580000,14916000,104156000,8587000,77586000,61587000,90423000,311099000,98217.88,220837000,153572000,377879000,114074000,11123000,153709000,250300000,8255000,77586000,4418.584,14629000,,1113000,,,,9940000,36357000,,
61,JP3106200003,2020,8931000,-7355000,7925000,-8155000,100010000,5267000,71337000,55937000,111902000,261924000,25045.82,195723000,114344000,358632000,91761000,-18644000,159474000,217696000,-13006000,71337000,3932.557,818000,,785000,,,,10746000,35405000,,
61,JP3106200003,2021,-9777000,-2480000,-13229000,-6134000,87947000,0,53024000,53024000,105750000,210019000,41726.24,160843000,80148000,320252000,52270000,-30274000,155792000,161404000,4718000,53024000,3231.497,-14404000,,832000,,,,8554000,30651000,,
61,JP3106200003,2022,-469000,20030000,-3776000,16526000,83978000,0,73433000,73433000,107641000,239281000,52863.3,161145000,119348000,313020000,53069000,3297000,148519000,165961000,27612000,73433000,3234.471,2181000,,865000,,,,7708000,26697000,,
61,JP3106200003,2023,-4483000,15376000,3264000,23077000,81418000,401000,93102000,93102000,107723000,237237000,74079.19,166441000,122416000,326842000,56625000,6611000,156813000,183506000,16849000,93102000,3339.322,7110000,,914000,,,,7910000,28702000,,
61,JP3106200003,2024,-18468000,-8000000,2491000,12959000,83813000,1304000,84352000,82552000,93734000,220805000,69090.13,177127000,105887000,325147000,65399000,11796000,144270000,193687000,12959000,84352000,3552.29,11918000,,911000,,,,7820000,28836000,,
62,JP3711200000,2014,-164022000,39803000,-280978000,-77153000,22335000,51444000,,,523844000,737681000,646857.6,515281000,,4761575000,209848000,53945000,4245537000,131735000,-67283000,441879000,3107.543,52185000,,,,,,3225000,,,
62,JP3711200000,2015,13660000,113360000,-190119000,-90419000,22062000,38918000,,,878206000,1152333000,515742.1,566647000,,4901773000,235116000,55814000,4334359000,124987000,-91493000,574174000,3547.925,59671000,,,,,,2378000,16823000,,
62,JP3711200000,2016,-302011000,-11192000,-238487000,52332000,21918000,41735000,,,821800000,1000964000,408098.7,404726000,,4571348000,199967000,58174000,4165850000,118642000,211681000,572583000,3469.893,55721000,,,,,,3332000,17630000,,
